width	height	diameter	season	manufacturer
19	22	38	2	52
87	20	30	1	19
130	6	16	4	76
96	2	21	3	203
104	40	14	1	204
11	37	27	2	85
97	19	37	3	61
3	3	2	4	187
3	31	23	3	79
52	27	36	2	31
5	18	32	4	4
34	4	11	1	119
94	14	12	2	76
65	39	24	1	44
23	25	15	3	17
95	17	28	4	3
72	40	19	4	116
109	35	39	2	108
49	9	35	1	85
3	2	33	2	179
126	39	22	3	163
131	25	6	1	3
10	7	41	4	205
7	26	3	3	64
21	21	40	4	147
6	20	18	2	140
47	34	26	3	119
82	41	34	1	130
88	12	7	2	173
28	2	31	4	136
151	27	8	1	183
35	16	4	3	42
72	7	25	2	132
28	6	20	3	74
113	2	17	1	129
57	31	1	4	177
120	33	10	4	145
140	38	29	3	157
18	1	9	2	77
102	14	5	1	120
46	35	13	1	104
151	19	6	2	10
67	9	17	4	111
19	9	10	3	29
30	17	36	3	19
6	13	7	1	163
123	3	32	2	98
57	1	16	1	57
20	35	21	4	109
131	15	31	2	39
62	3	35	3	57
98	30	30	4	206
124	32	11	3	37
15	19	33	4	204
93	36	27	1	154
43	31	20	2	150
42	28	15	4	16
143	24	41	1	190
146	27	34	3	93
68	13	40	2	60
59	23	4	4	108
150	30	24	3	134
106	32	38	1	136
127	40	26	2	144
29	30	1	1	147
109	12	28	3	28
58	39	19	2	121
42	21	29	2	9
56	16	18	4	160
11	32	8	4	60
140	5	3	1	124
25	1	39	3	23
80	6	14	2	99
47	10	9	4	40
15	6	12	1	23
124	8	37	1	193
2	36	13	3	158
47	9	23	2	169
44	24	22	4	7
71	5	2	3	11
81	31	25	1	187
7	36	5	4	152
75	35	8	3	191
88	8	18	3	153
96	10	35	2	187
36	8	14	4	56
136	30	37	2	167
53	38	32	1	12
72	18	31	3	140
98	32	34	2	180
119	11	20	4	199
42	37	10	1	153
56	41	2	2	67
52	22	12	4	120
119	15	28	1	81
95	33	33	3	101
118	7	5	3	143
114	21	39	1	141
95	24	11	2	166
48	15	9	3	187
14	29	25	4	140
78	8	30	2	7
111	41	6	4	102
59	34	21	2	124
130	18	13	2	163
109	18	19	1	2
101	26	38	4	81
37	26	40	1	110
128	37	23	4	163
46	22	7	3	1
72	12	36	1	135
131	40	1	3	124
134	38	22	2	196
126	1	29	4	171
46	33	17	2	12
37	41	16	3	106
