width	diameter	pcd	et	dia	manufacturer
7	7	30	39	1	62
19	18	34	116	15	73
9	1	8	30	3	67
16	2	27	39	15	52
16	16	15	89	83	54
16	6	40	107	40	3
1	15	10	113	66	30
18	12	51	106	20	55
8	5	25	1	24	10
20	9	14	124	47	32
14	4	39	95	94	26
26	8	18	25	1	22
23	14	24	120	41	34
10	3	44	31	115	35
19	17	23	80	49	41
11	13	17	49	10	9
7	11	35	61	98	51
19	10	31	46	71	33
4	2	32	46	59	87
1	7	48	23	73	80
22	8	43	39	87	74
2	15	11	100	17	63
4	4	45	65	8	71
15	13	19	4	19	40
11	18	9	80	38	85
21	12	16	88	110	1
20	11	20	50	38	14
11	6	29	71	7	72
9	14	5	70	2	59
1	17	2	11	13	2
20	3	26	97	5	83
21	16	37	6	5	28
25	5	4	94	81	29
12	9	36	56	77	39
13	1	12	49	110	8
9	10	21	33	75	16
20	16	41	54	26	21
24	13	38	96	107	64
20	10	6	7	59	23
15	14	22	125	74	58
18	4	28	36	7	44
20	17	7	3	99	4
5	18	47	111	17	47
14	8	33	69	12	38
26	3	1	66	23	12
6	9	42	102	10	57
8	12	46	18	7	61
21	2	50	96	43	81
5	1	3	71	30	11
21	5	49	67	73	42
11	7	13	48	58	19
7	15	6	92	10	86
22	6	12	23	48	5
9	11	9	52	83	66
8	17	10	78	3	89
16	11	33	67	18	45
19	7	24	122	79	76
23	9	48	111	75	36
16	15	14	98	4	15
16	1	17	33	49	48
9	8	31	73	21	84
24	3	50	85	10	68
3	14	7	18	57	82
12	2	30	9	71	65
23	13	37	117	24	31
2	5	38	87	61	27
24	12	1	115	42	79
2	18	43	46	9	6
13	4	25	28	102	13
14	6	4	43	29	78
8	10	51	23	16	46
24	5	34	66	26	50
18	16	40	63	31	24
16	18	20	61	85	60
17	11	27	49	14	70
5	17	39	17	18	18
13	6	45	27	51	53
24	14	47	73	49	17
18	8	8	15	102	69
20	7	3	60	66	49
8	9	41	98	59	88
15	4	29	102	25	20
1	16	11	75	47	25
3	15	15	56	52	43
19	13	26	118	110	37
15	3	16	77	46	77
13	2	22	52	24	56
3	12	18	10	79	75
13	10	13	77	17	7
26	1	32	111	79	89
12	10	42	63	51	27
14	14	36	64	22	64
12	12	49	30	25	70
1	3	5	46	87	86
16	5	28	111	108	83
4	7	19	27	5	31
5	2	35	40	4	32
