Width	Diameter	Pcd	Et	Dia	Manufacturer
13	16	13	39	1	62
6	7	15	22	3	22
9	5	11	113	39	55
1	3	29	61	28	42
23	14	30	29	105	4
7	10	8	83	4	10
25	12	27	105	14	50
3	6	43	19	89	26
9	11	9	46	16	12
8	1	32	34	55	28
8	4	40	105	94	52
27	2	26	68	71	27
6	17	23	35	21	18
21	13	38	95	105	13
16	9	12	89	21	35
20	18	21	10	68	25
10	19	39	108	48	60
14	15	10	105	104	1
8	8	28	18	28	23
1	5	36	51	1	78
19	7	17	38	18	11
21	10	18	26	83	30
5	3	6	92	90	43
17	13	41	4	66	69
17	17	37	110	50	19
6	8	5	32	20	73
15	1	3	82	5	21
2	19	34	1	26	47
10	16	22	10	67	45
27	12	25	65	81	75
12	15	33	73	97	3
12	4	31	36	45	16
1	2	20	102	59	61
14	18	16	61	51	17
2	11	1	71	37	7
27	6	14	20	63	56
7	14	19	89	20	51
1	9	2	68	83	64
17	12	42	12	97	40
20	14	7	44	30	9
5	16	24	70	77	53
1	7	4	2	89	38
1	10	35	103	48	15
11	8	41	113	44	76
27	4	13	108	21	72
12	11	23	48	70	6
1	13	27	98	44	48
2	3	5	53	2	36
24	5	29	91	92	66
9	6	28	48	41	68
28	15	42	33	5	67
18	9	20	6	92	2
14	1	25	32	63	5
25	17	40	108	64	70
13	2	43	18	9	49
15	19	26	33	81	24
25	18	22	1	52	65
21	16	7	107	44	14
28	7	35	48	80	39
1	11	24	17	20	74
6	15	14	88	1	54
19	12	2	4	73	46
10	13	12	74	5	8
24	2	17	61	3	44
28	1	36	9	97	32
16	5	33	64	86	63
26	18	37	84	27	37
14	8	3	8	74	41
11	6	8	1	34	58
6	10	9	73	10	59
5	14	34	67	14	29
2	4	16	55	11	57
1	19	11	53	60	77
4	17	21	46	26	20
2	9	19	86	41	33
6	3	30	95	44	34
20	2	32	38	37	71
3	7	39	66	71	31
10	11	4	43	72	55
16	10	1	72	99	74
2	18	18	34	20	5
28	13	31	75	90	30
6	14	6	96	24	36
10	8	38	58	46	7
21	1	10	46	31	67
23	15	15	49	11	26
28	6	23	12	2	70
3	5	31	61	58	13
15	16	39	101	95	10
18	3	28	4	61	59
23	17	6	43	17	24
10	4	18	8	77	23
13	9	22	52	85	21
14	19	43	40	97	4
14	12	9	72	79	28
19	18	8	53	22	19
28	19	30	82	38	68
2	8	32	4	95	45
21	12	4	85	94	53
24	17	38	27	83	78
17	2	34	29	63	64
13	11	5	107	86	47
17	5	7	22	49	35
25	16	12	49	59	52
12	13	35	33	60	12
10	10	16	33	2	22
17	6	24	45	44	15
23	1	14	100	56	66
9	15	17	7	68	38
22	7	20	79	11	77
9	9	36	103	59	40
2	14	11	21	81	2
24	4	27	102	81	58
5	9	29	105	66	8
20	3	19	105	73	39
11	13	42	20	65	29
4	6	37	4	39	51
23	12	40	106	31	14
16	19	21	74	95	65
25	10	25	64	35	62
2	2	15	84	14	43
5	8	26	44	42	46
22	15	2	53	102	42
4	3	13	69	46	6
4	11	33	44	53	73
17	18	10	71	75	31
12	17	3	4	51	9
22	1	41	49	8	1
9	7	1	10	14	37
8	5	16	57	23	60
18	4	11	26	85	33
3	14	17	57	38	69
7	16	34	41	5	56
23	10	37	2	12	61
7	7	42	98	53	57
1	14	3	19	68	71
12	12	22	15	46	11
17	1	12	16	41	18
10	17	31	69	53	3
21	5	1	80	29	44
6	16	18	91	68	49
23	4	35	91	52	32
18	6	5	37	98	17
5	13	15	81	20	75
7	2	4	10	74	76
24	15	32	20	33	72
24	9	8	112	95	25
25	3	26	106	4	54
16	18	27	6	4	16
21	11	43	8	59	48
12	8	10	74	3	34
16	4	30	53	70	41
21	14	2	33	64	27
28	9	24	63	48	50
19	19	7	7	63	63
2	10	28	17	97	20
26	19	9	49	28	31
15	12	29	83	22	51
15	5	25	41	13	38
19	3	36	5	68	77
4	16	40	16	27	13
16	7	38	59	68	59
15	18	41	57	26	34
18	1	23	96	74	24
26	17	20	7	90	35
14	2	39	67	102	16
26	6	13	5	16	75
25	8	14	61	40	57
27	13	33	36	36	21
13	15	21	95	40	33
19	5	19	102	75	48
25	11	6	113	96	40
14	6	38	91	8	46
3	15	7	26	34	8
20	13	26	71	13	63
19	4	28	19	51	47
11	7	24	8	43	71
18	17	12	34	28	39
19	14	13	65	98	20
4	9	41	111	67	67
11	11	39	42	40	65
3	2	2	37	70	7
20	19	35	34	1	41
9	1	18	67	29	2
17	16	27	109	102	1
5	18	17	22	44	49
17	8	16	72	4	52
18	10	33	95	15	72
22	12	6	45	39	37
8	19	14	26	39	42
11	5	40	10	55	43
16	3	31	26	56	53
11	9	11	106	37	45
22	2	37	74	28	3
6	4	10	25	35	56
13	6	32	42	58	25
12	18	15	89	104	14
5	12	8	101	35	15
25	14	23	90	36	28
22	13	5	105	63	68
10	1	9	63	68	70
27	16	42	18	85	32
3	3	1	97	40	19
20	11	36	40	60	66
21	7	3	92	12	64
1	17	34	81	27	54
1	15	25	11	87	60
13	10	20	110	89	44
19	8	4	29	101	27
26	2	21	91	21	9
16	11	29	37	9	76
4	10	30	70	90	78
8	15	19	71	49	17
4	12	43	6	52	23
20	7	22	76	8	6
