Width	Heigh	Diameter	Season	Manufacturer
39	19	36	1	1
114	23	19	2	21
63	15	32	4	57
84	4	21	3	89
73	29	39	1	54
110	26	37	4	80
141	21	29	2	200
126	27	25	3	1
44	23	13	3	94
11	18	10	1	191
54	35	34	2	94
149	7	1	4	44
86	24	14	2	50
68	34	6	1	167
139	2	28	3	67
56	36	33	4	114
70	18	7	3	124
142	13	26	4	43
99	22	2	2	135
72	17	24	1	103
20	30	30	4	84
87	29	20	3	95
133	8	38	1	163
122	19	9	2	47
19	30	18	3	10
51	7	40	1	149
2	32	4	4	199
116	10	15	2	203
37	34	22	4	143
137	32	12	3	61
49	4	31	2	37
135	32	3	1	18
70	30	11	1	146
68	9	8	3	155
66	2	23	2	98
78	23	35	4	126
32	16	16	3	201
141	23	17	1	128
15	8	27	4	186
26	37	41	2	77
87	8	5	2	133
17	3	34	1	188
134	27	14	4	14
17	35	6	3	63
94	16	36	2	9
87	14	12	1	78
74	5	17	3	114
13	24	39	4	19
142	29	3	2	27
26	11	9	1	51
77	20	29	3	57
13	20	13	1	11
117	19	28	4	103
11	10	22	3	130
121	25	30	2	79
84	17	19	4	38
137	20	25	2	164
43	31	21	4	179
144	28	24	3	38
98	37	27	1	153
96	3	8	4	144
26	6	23	3	156
113	35	5	1	183
92	36	16	2	59
81	4	7	1	150
14	37	15	4	95
146	27	11	2	24
117	37	38	3	32
104	9	41	1	194
16	33	20	4	45
122	8	4	3	8
72	13	1	2	58
109	3	40	3	22
124	3	32	2	10
72	28	10	4	201
109	15	33	1	42
115	14	37	2	99
109	1	31	4	119
137	21	2	1	63
10	7	26	3	14
63	33	35	3	176
125	20	18	4	132
51	26	21	2	125
51	14	13	4	192
8	5	37	1	198
45	36	3	3	135
113	5	10	2	70
137	4	40	4	40
86	10	20	1	105
149	18	27	2	89
115	22	31	3	45
35	2	4	1	123
98	30	38	2	38
41	25	35	1	114
80	21	36	3	99
99	21	17	4	134
20	17	41	3	27
120	15	26	2	36
16	27	1	1	9
24	35	9	4	108
140	17	28	2	92
93	22	29	4	47
11	12	23	4	160
99	24	15	3	73
87	38	16	4	198
89	33	14	1	110
58	33	33	2	171
148	38	11	3	148
55	16	19	1	10
82	12	32	1	176
52	6	2	4	89
86	11	34	3	88
136	26	5	3	47
112	38	25	1	98
9	11	22	2	56
94	1	8	1	55
110	7	39	2	139
24	1	30	3	11
122	28	18	1	14
17	29	12	4	117
146	5	6	4	88
51	31	19	3	200
54	6	15	1	117
107	34	24	2	207
145	9	7	2	20
34	31	4	2	126
149	25	33	3	33
17	12	20	2	147
2	19	37	3	58
9	25	11	4	8
23	9	36	4	94
66	15	27	3	191
73	11	5	4	191
15	24	26	1	71
100	22	21	1	90
79	32	18	2	91
109	38	17	2	64
21	13	32	3	76
2	6	40	2	90
65	13	23	1	59
6	16	38	4	97
70	2	25	4	72
31	12	39	3	142
137	18	3	4	153
144	1	13	2	163
139	31	22	1	141
71	34	10	3	150
8	14	9	3	113
136	28	12	2	1
12	26	31	1	56
133	10	7	4	70
99	37	16	1	118
59	29	1	3	105
129	36	28	1	171
59	14	41	4	3
88	36	8	2	146
66	23	34	4	99
11	35	35	2	84
75	11	2	3	98
56	16	30	1	111
95	8	24	4	34
100	6	6	2	102
94	6	14	3	149
64	19	29	1	39
125	4	5	3	6
93	37	3	3	48
74	9	24	1	33
89	29	34	3	2
63	24	19	2	132
2	24	22	1	8
102	3	11	1	139
143	4	38	4	31
2	7	10	2	25
50	26	6	3	19
109	27	28	1	37
87	28	4	4	61
30	28	13	1	137
88	37	29	1	53
141	4	12	4	9
13	18	2	3	7
88	34	33	3	70
9	14	32	1	30
74	30	21	2	180
36	30	16	3	116
107	6	26	3	75
133	21	8	3	159
37	21	39	3	28
135	8	7	4	75
26	8	30	4	27
53	14	35	4	140
103	27	36	1	170
137	16	27	1	60
86	14	40	4	125
59	18	18	1	122
103	20	31	3	85
128	12	14	4	157
15	28	20	3	206
81	2	1	4	30
41	22	25	3	9
15	31	23	2	164
25	36	15	3	162
118	16	17	1	168
74	8	9	4	26
120	35	41	4	64
78	34	37	1	201
48	2	22	4	74
25	22	41	1	7
57	19	24	2	22
99	9	32	4	37
40	3	14	3	81
5	23	40	4	173
12	32	27	3	50
141	12	25	1	99
109	9	20	3	24
90	22	30	1	29
51	27	34	2	40
87	18	29	1	76
6	15	9	2	176
46	27	33	2	103
96	33	21	1	100
91	15	38	2	170
13	29	37	2	128
101	28	39	1	45
72	20	19	4	63
70	36	26	2	3
42	24	2	1	52
122	38	15	4	202
115	15	16	1	15
83	26	23	4	1
149	29	10	1	9
66	37	31	4	149
150	7	12	3	104
40	13	13	1	89
37	35	4	2	206
89	4	3	4	147
56	30	36	3	29
63	18	1	1	173
73	13	8	3	127
151	4	18	3	196
7	31	6	1	75
16	11	28	2	140
149	35	7	4	82
84	6	35	2	16
122	27	5	2	162
116	18	11	4	67
105	27	17	2	158
39	26	14	2	66
104	34	8	2	179
74	33	22	4	138
43	5	41	1	116
114	36	20	1	133
92	11	40	3	78
111	10	1	1	23
77	3	30	4	133
7	26	17	3	183
142	16	29	3	171
94	17	3	4	56
11	22	16	4	193
29	28	23	4	6
48	12	9	2	127
40	21	5	4	78
66	32	15	4	76
141	16	39	3	68
140	15	19	3	128
121	37	37	1	20
91	38	31	4	112
28	21	24	4	2
55	35	27	4	58
93	2	11	1	2
38	7	33	3	152
11	20	26	4	156
112	24	12	3	202
119	33	28	1	96
84	11	38	1	47
103	8	32	4	167
64	18	13	2	149
89	28	2	2	155
56	7	35	2	11
52	21	25	1	70
47	20	36	1	126
38	21	18	2	129
145	20	6	3	129
22	14	7	3	108
17	38	4	2	201
101	19	10	4	174
76	19	34	1	4
71	15	21	4	158
99	23	6	1	6
136	24	18	1	17
77	6	36	1	190
63	38	26	2	116
60	5	32	4	7
37	37	14	1	70
128	4	8	1	125
142	17	9	1	135
124	23	3	3	177
75	20	17	2	104
4	31	7	2	136
83	4	39	3	123
3	15	25	2	198
44	36	27	1	200
118	27	24	2	86
148	26	28	4	184
34	1	20	1	62
34	38	13	4	28
11	14	33	1	83
49	35	16	1	88
7	23	11	2	93
17	21	30	1	119
141	28	40	4	89
23	1	22	3	89
9	32	21	3	119
51	11	29	2	54
113	36	41	4	176
147	7	19	3	163
46	32	38	3	40
88	6	4	4	172
136	11	15	4	22
133	20	2	2	60
128	25	23	2	177
114	2	31	4	180
85	31	1	3	207
45	33	12	1	197
110	38	34	3	83
57	1	37	4	164
110	3	35	1	106
32	34	5	2	108
64	20	10	3	89
26	10	31	4	197
126	7	21	4	60
147	12	28	4	169
70	11	6	2	144
66	20	16	3	137
87	2	34	3	125
110	27	15	3	133
44	5	36	2	44
45	13	14	2	48
18	6	5	2	14
30	7	29	3	74
149	28	8	2	43
85	3	19	2	154
83	30	24	2	49
54	38	1	3	147
117	17	22	2	5
5	10	33	2	63
127	6	27	4	113
46	5	35	4	173
147	31	18	4	170
6	36	25	1	134
145	4	9	1	157
112	8	41	2	197
67	21	26	1	144
58	32	2	4	124
58	3	4	1	64
23	28	30	2	163
103	10	38	3	103
10	4	13	1	133
57	34	20	3	90
141	32	7	2	71
21	37	17	1	60
8	22	3	2	161
1	17	37	1	172
127	22	39	2	151
23	8	23	1	28
73	34	12	2	31
17	5	40	4	163
93	1	32	2	183
106	34	11	2	72
11	3	12	3	37
132	36	10	3	34
111	34	4	3	62
114	29	18	3	13
75	37	34	1	187
80	15	7	1	103
84	35	28	4	130
86	15	10	1	166
128	15	13	3	38
90	2	41	4	50
108	6	21	3	86
1	6	22	2	153
71	1	40	1	9
15	6	11	1	207
145	32	20	4	1
13	6	32	2	185
19	1	19	4	159
43	24	23	3	199
30	16	1	2	67
127	2	9	2	45
140	25	3	4	166
103	33	24	2	53
132	27	27	1	95
58	23	36	3	12
27	20	30	3	195
63	32	29	3	110
130	29	5	3	20
123	34	35	3	198
34	37	2	2	191
57	37	25	4	17
59	6	17	4	10
90	23	14	2	114
115	6	8	4	58
143	35	15	1	145
16	1	16	3	87
87	16	37	4	149
60	11	33	3	172
93	30	6	2	28
22	9	38	4	98
122	35	31	4	185
136	3	26	3	167
59	1	39	3	92
122	22	37	2	78
28	3	39	3	118
89	11	1	4	4
88	1	3	2	202
40	20	27	2	130
1	33	18	3	16
18	15	22	2	7
120	13	34	3	205
62	31	24	1	3
68	2	32	2	18
49	28	25	3	26
25	16	9	4	122
109	23	5	2	8
73	38	14	1	85
141	17	15	1	193
45	5	4	4	152
98	3	41	3	52
84	15	12	1	24
35	37	7	3	112
134	34	2	2	76
15	5	8	3	47
148	29	30	1	116
92	35	38	1	77
41	28	11	2	172
53	17	29	1	43
15	33	10	1	163
141	27	6	4	48
6	27	20	3	38
67	4	17	2	74
78	15	40	2	27
147	36	31	2	6
128	19	35	2	109
9	27	26	1	80
145	25	36	4	11
21	28	21	2	191
141	25	19	2	119
13	5	23	4	119
3	30	28	4	83
139	8	33	1	180
6	34	16	4	28
96	27	13	1	202
147	17	30	1	179
86	37	28	3	6
86	22	19	3	91
105	23	2	1	49
27	2	10	1	132
54	5	5	4	188
97	11	32	4	13
28	33	38	3	71
52	15	8	2	34
84	2	40	4	119
39	38	27	3	193
71	8	29	2	124
21	15	14	3	138
144	34	9	1	114
148	37	4	2	45
136	25	7	2	159
16	34	41	3	60
125	16	34	4	146
104	37	12	4	119
96	20	24	3	25
77	14	15	1	31
22	25	31	2	110
133	24	3	1	84
69	19	6	1	40
59	5	16	2	185
93	3	23	2	30
90	19	1	3	181
90	21	37	3	101
88	23	26	3	140
80	16	25	4	119
